time,high,low,open,close,volume
2025-01-18 08:34:45,103011.71,103008.52,103010.31,103009.92,2
2025-01-18 08:34:46,103007.68,102986.98,103006.28,102988.38,6
2025-01-18 08:34:47,102992.51,102986.99,102986.99,102992.51,5
2025-01-18 08:34:48,102992.52,102991.11,102991.11,102992.52,2
2025-01-18 08:34:49,102992.54,102991.13,102991.13,102992.54,2
2025-01-18 08:34:50,102992.56,102991.15,102991.15,102992.56,2
2025-01-18 08:34:51,102992.57,102991.17,102991.17,102992.57,1
2025-01-18 08:34:52,102992.6,102991.18,102991.18,102992.6,3
2025-01-18 08:34:53,102992.62,102991.21,102991.21,102992.62,2
2025-01-18 08:34:54,102992.63,102984.06,102991.23,102985.46,4
2025-01-18 08:34:55,102981.07,102979.58,102979.67,102980.98,2
2025-01-18 08:34:56,102977.29,102974.19,102975.89,102975.6,3
2025-01-18 08:34:57,102975.62,102974.21,102974.21,102975.62,2
2025-01-18 08:34:58,102975.64,102974.23,102974.23,102975.64,2
2025-01-18 08:34:59,102975.65,102974.25,102974.25,102975.65,1
2025-01-18 08:35:00,102975.67,102974.25,102974.25,102975.67,3
2025-01-18 08:35:01,102973.89,102969.59,102972.48,102970.99,3
2025-01-18 08:35:02,103070.36,102969.2,102969.2,103070.36,10
2025-01-18 08:35:03,103072.67,103068.18,103068.18,103072.59,8
2025-01-18 08:35:04,103072.58,103064.59,103070.93,103065.99,8
2025-01-18 08:35:05,103064.3,103056.38,103062.9,103057.79,5
2025-01-18 08:35:06,103056.71,103055.29,103055.29,103056.71,3
2025-01-18 08:35:07,103056.84,103055.32,103055.32,103056.84,3
2025-01-18 08:35:08,103059.28,103056.48,103057.71,103057.88,5
2025-01-18 08:35:09,103057.89,103044.41,103056.48,103045.84,7
2025-01-18 08:35:10,103045.88,103044.45,103044.45,103045.88,4
2025-01-18 08:35:11,103045.93,103044.49,103044.49,103045.93,5
2025-01-18 08:35:12,103045.99,103044.54,103044.54,103045.99,6
2025-01-18 08:35:14,103046.1,103044.66,103044.66,103046.1,5
2025-01-18 08:35:15,103046.16,103044.71,103044.71,103046.16,6
2025-01-18 08:35:16,103046.23,103044.77,103044.77,103046.23,7
2025-01-18 08:35:17,103046.29,103044.84,103044.84,103046.29,6
2025-01-18 08:35:18,103046.32,103042.84,103044.9,103044.25,5
2025-01-18 08:35:19,103044.3,103042.86,103042.86,103044.3,5
2025-01-18 08:35:20,103044.35,103042.91,103042.91,103044.35,5
2025-01-18 08:35:21,103044.38,103039.91,103042.96,103041.32,5
2025-01-18 08:35:22,103041.16,103039.72,103039.72,103041.16,5
2025-01-18 08:35:23,103041.2,103039.77,103039.77,103041.2,4
2025-01-18 08:35:24,103041.25,103039.81,103039.81,103041.25,5
2025-01-18 08:35:25,103041.28,103039.86,103039.86,103041.28,3
2025-01-18 08:35:26,103041.31,103039.89,103039.89,103041.31,3
2025-01-18 08:35:27,103041.35,103039.92,103039.92,103041.35,4
2025-01-18 08:35:28,103041.39,103039.96,103039.96,103041.39,4
2025-01-18 08:35:29,103041.44,103040.0,103040.0,103041.44,5
2025-01-18 08:35:30,103041.49,103040.05,103040.05,103041.49,5
2025-01-18 08:35:31,103041.53,103040.1,103040.1,103041.53,4
2025-01-18 08:35:32,103041.57,103040.14,103040.14,103041.57,4
2025-01-18 08:35:33,103041.6,103040.18,103040.18,103041.6,3
2025-01-18 08:35:34,103041.63,103040.21,103040.21,103041.63,3
2025-01-18 08:35:35,103041.68,103040.24,103040.24,103041.68,5
2025-01-18 08:35:36,103063.08,103040.29,103040.29,103063.08,5
2025-01-18 08:35:37,103067.67,103065.68,103065.68,103067.65,4
2025-01-18 08:35:38,103067.66,103066.26,103066.26,103067.66,1
2025-01-18 08:35:39,103063.47,103060.37,103062.07,103061.77,2
2025-01-18 08:35:40,103061.79,103060.38,103060.38,103061.79,2
2025-01-18 08:35:41,103063.5,103062.09,103062.09,103063.5,2
2025-01-18 08:35:42,103063.53,103062.11,103062.11,103063.53,3
2025-01-18 08:35:43,103063.55,103062.14,103062.14,103063.55,2
2025-01-18 08:35:44,103063.58,103062.16,103062.16,103063.58,3
2025-01-18 08:35:45,103063.61,103062.19,103062.19,103063.61,3
2025-01-18 08:35:46,103067.85,103062.22,103062.22,103067.85,4
2025-01-18 08:35:47,103067.86,103066.46,103066.46,103067.86,1
2025-01-18 08:35:48,103067.88,103066.47,103066.47,103067.88,2
2025-01-18 08:35:49,103072.5,103066.49,103066.49,103072.5,2
2025-01-18 08:35:50,103072.52,103071.11,103071.11,103072.52,2
2025-01-18 08:35:51,103072.53,103071.13,103071.13,103072.53,1
2025-01-18 08:35:52,103072.55,103071.14,103071.14,103072.55,2
2025-01-18 08:35:53,103072.56,103071.16,103071.16,103072.56,1
2025-01-18 08:35:54,103072.58,103071.17,103071.17,103072.58,2
2025-01-18 08:35:55,103072.6,103071.19,103071.19,103072.6,2
2025-01-18 08:35:56,103072.61,103071.21,103071.21,103072.61,1
2025-01-18 08:35:57,103088.06,103071.22,103071.22,103088.06,7
2025-01-18 08:35:58,103090.17,103088.77,103088.77,103090.17,1
2025-01-18 08:35:59,103099.02,103090.17,103090.17,103096.6,5
2025-01-18 08:36:00,103092.77,103077.69,103091.37,103079.09,9
2025-01-18 08:36:01,103090.34,103080.14,103080.14,103083.94,8
2025-01-18 08:36:02,103087.15,103085.74,103085.74,103087.15,2
2025-01-18 08:36:03,103087.16,103082.57,103085.76,103083.97,2
2025-01-18 08:36:04,103083.98,103077.7,103082.58,103079.1,3
2025-01-18 08:36:06,103062.39,103060.94,103060.99,103062.35,3
2025-01-18 08:36:07,103062.36,103060.96,103060.96,103062.36,1
2025-01-18 08:36:08,103062.37,103060.97,103060.97,103062.37,1
2025-01-18 08:36:09,103062.39,103060.98,103060.98,103062.39,2
2025-01-18 08:36:10,103062.42,103061.0,103061.0,103062.42,3
2025-01-18 08:36:11,103062.44,103061.03,103061.03,103062.44,2
2025-01-18 08:36:12,103062.47,103061.05,103061.05,103062.47,3
2025-01-18 08:36:13,103062.51,103061.08,103061.08,103062.51,4
2025-01-18 08:36:14,103062.54,103061.12,103061.12,103062.54,3
2025-01-20 10:36:20,108291.91,108274.69,108290.51,108276.09,3
2025-01-20 10:38:40,108310.1,108302.88,108308.7,108304.28,6
2025-01-20 10:39:27,108291.8,108285.12,108285.12,108291.8,6
2025-01-20 10:43:34,108485.38,108479.21,108483.98,108480.61,4
2025-01-20 10:44:06,108420.92,108412.37,108419.52,108413.89,7
2025-01-20 10:47:15,108420.55,108410.76,108419.15,108416.36,5
2025-01-20 10:47:54,108435.44,108429.98,108429.98,108435.44,4
2025-01-20 10:49:37,108443.16,108440.06,108441.76,108441.48,4
2025-01-20 10:50:17,108338.47,108330.07,108333.14,108338.47,8
2025-01-20 10:50:34,108365.2,108355.4,108360.95,108365.2,5
2025-01-20 11:12:42,107957.18,107951.71,107955.78,107955.11,7
2025-01-20 11:14:03,107989.79,107982.27,107988.39,107983.67,5
2025-01-20 11:14:40,108060.32,108058.91,108058.91,108060.32,2
2025-01-20 11:15:15,108035.1,108033.7,108033.7,108035.1,1
2025-01-20 11:15:37,108047.42,108041.32,108045.86,108042.72,3
2025-01-20 11:15:50,108043.96,108039.03,108040.07,108043.95,5
2025-01-20 11:16:02,108074.39,108071.49,108072.99,108072.89,2
2025-01-20 11:16:15,108061.66,108046.74,108060.26,108048.14,2
2025-01-20 11:17:12,108106.02,108091.38,108091.38,108106.02,6
2025-01-20 11:17:59,108181.81,108173.71,108173.71,108181.81,4
2025-01-20 11:18:34,108197.47,108188.79,108188.8,108197.47,4
2025-01-20 11:20:21,108181.0,108178.1,108178.1,108181.0,3
2025-01-20 11:20:56,108273.08,108266.38,108271.68,108267.78,5
2025-01-20 11:20:57,108268.52,108260.97,108265.17,108267.11,9
2025-01-20 11:20:58,108273.09,108253.79,108266.58,108255.19,8
2025-01-20 11:20:59,108255.16,108237.55,108253.76,108238.95,4
2025-01-20 11:21:00,108234.04,108217.73,108232.64,108219.13,5
2025-01-20 11:22:32,108369.27,108327.0,108367.87,108328.4,8
2025-01-20 11:22:33,108322.25,108306.94,108320.85,108316.41,7
2025-01-20 11:22:34,108321.53,108310.92,108315.02,108315.37,8
2025-01-20 11:22:35,108327.05,108319.36,108319.36,108327.05,2
2025-01-20 11:22:36,108327.04,108325.63,108325.64,108327.03,2
2025-01-20 11:23:04,108315.94,108306.62,108309.88,108315.94,9
2025-01-20 11:23:05,108340.97,108315.06,108315.06,108340.97,9
2025-01-20 11:23:06,108351.3,108340.61,108342.14,108351.3,7
2025-01-20 11:23:07,108356.68,108349.88,108349.89,108356.66,6
2025-01-20 11:23:08,108356.65,108355.24,108355.25,108356.64,2
2025-01-20 11:23:09,108376.9,108355.43,108355.43,108376.9,5
2025-01-20 11:23:10,108376.89,108375.49,108375.49,108376.89,1
2025-01-20 11:23:11,108374.41,108357.41,108373.01,108358.81,8
2025-01-20 11:23:12,108360.3,108352.66,108358.9,108354.06,8
2025-01-20 11:23:13,108350.29,108343.77,108348.89,108345.18,7
2025-01-20 11:23:14,108345.19,108343.79,108343.79,108345.19,1
2025-01-20 11:42:18,108130.61,108129.21,108129.21,108130.61,1
2025-01-20 11:43:17,108184.46,108182.72,108182.83,108184.12,3
2025-01-20 11:44:19,108138.24,108128.64,108128.64,108138.24,4
2025-01-20 11:44:21,108130.86,108091.55,108129.46,108092.95,6
2025-01-20 11:44:22,108089.16,108078.76,108087.76,108080.16,3
2025-01-20 11:44:23,108080.18,108078.77,108078.77,108080.18,2
2025-01-20 11:44:24,108094.18,108080.58,108080.58,108094.18,4
2025-01-20 11:44:26,108094.19,108092.79,108092.79,108094.19,1
2025-01-20 11:44:27,108103.49,108097.69,108097.69,108103.49,2
2025-01-20 11:44:30,108103.5,108102.1,108102.1,108103.5,1
2025-01-20 11:44:32,108103.51,108102.11,108102.11,108103.51,1
2025-01-20 11:44:33,108109.23,108102.12,108102.12,108109.23,2
2025-01-20 11:44:34,108113.55,108107.84,108107.84,108113.55,2
2025-01-20 11:44:36,108130.88,108113.26,108113.26,108130.88,4
2025-01-20 11:44:37,108130.89,108129.48,108129.49,108130.89,3
2025-01-20 11:44:38,108130.9,108129.5,108129.5,108130.9,1
2025-01-20 11:44:40,108125.84,108114.13,108124.44,108115.53,4
2025-01-20 11:47:46,108228.06,108218.59,108218.59,108228.06,7
2025-01-20 11:47:47,108228.54,108224.23,108227.14,108228.52,6
2025-01-20 11:47:48,108228.51,108219.71,108227.11,108221.82,5
